IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
104.27.28.167,4,4,0.00,238.02,592.73,LAX,443
104.27.27.246,4,4,0.00,238.02,439.42,LAX,443
104.27.39.242,4,4,0.00,238.00,431.06,LAX,443
104.24.22.102,4,4,0.00,237.55,424.60,LAX,443
141.101.120.234,4,4,0.00,239.37,339.35,LAX,443
104.27.22.73,4,4,0.00,238.34,323.50,LAX,443
104.27.91.114,4,4,0.00,239.38,320.66,LAX,443
104.27.26.49,4,4,0.00,238.52,311.15,LAX,443
104.27.89.147,4,4,0.00,239.38,157.97,LAX,443
172.64.230.194,4,4,0.00,238.45,111.11,LAX,443
108.162.192.192,4,4,0.00,238.87,90.02,LAX,443
104.25.198.34,4,4,0.00,238.45,89.50,LAX,443
104.19.150.155,4,4,0.00,99.03,14.15,HKG,443
104.16.37.62,4,4,0.00,196.08,12.83,SEA,443
104.17.61.93,4,4,0.00,64.50,12.36,HKG,443
172.64.144.241,4,4,0.00,77.27,11.37,HKG,443
104.17.221.4,4,4,0.00,62.80,11.37,HKG,443
104.17.214.99,4,4,0.00,71.73,11.07,HKG,443
172.64.234.218,4,4,0.00,233.00,11.04,DEN,443
104.18.152.40,4,4,0.00,198.47,10.75,HKG,443
104.16.98.50,4,4,0.00,197.36,10.65,LHR,443
172.64.145.135,4,4,0.00,78.79,10.18,HKG,443
104.17.176.10,4,4,0.00,71.90,10.14,HKG,443
104.16.157.139,4,4,0.00,64.38,9.53,HKG,443
172.64.155.222,4,4,0.00,72.43,8.96,HKG,443
104.16.145.81,4,4,0.00,62.03,8.80,HKG,443
104.19.223.111,4,4,0.00,96.47,8.45,HKG,443
104.16.30.35,4,4,0.00,194.19,7.86,SJC,443
104.17.249.112,4,4,0.00,195.96,7.78,SEA,443
172.64.146.106,4,4,0.00,102.77,7.39,HKG,443
104.16.23.170,4,4,0.00,194.55,6.93,SJC,443
104.17.179.197,4,4,0.00,71.03,6.65,HKG,443
104.17.236.60,4,4,0.00,192.85,6.50,SEA,443
172.64.147.92,4,4,0.00,78.03,6.23,HKG,443
104.17.174.101,4,4,0.00,78.44,6.20,HKG,443
104.16.39.132,4,4,0.00,194.10,5.23,SEA,443
104.16.38.239,4,4,0.00,199.02,4.84,SEA,443
172.64.152.116,4,4,0.00,78.02,4.80,HKG,443
104.17.212.21,4,4,0.00,77.65,3.35,HKG,443
104.18.67.131,4,4,0.00,195.52,3.02,SEA,443
172.67.130.0,4,4,0.00,237.46,2.36,LHR,443
104.21.24.253,4,4,0.00,191.48,2.24,SEA,443
104.27.2.103,4,4,0.00,234.54,1.80,LAX,443
104.27.90.64,4,4,0.00,236.97,1.71,LAX,443
190.93.244.42,4,4,0.00,191.27,1.61,SJC,443
104.21.200.39,4,4,0.00,232.20,1.38,LAX,443
104.20.37.141,4,4,0.00,233.07,1.30,LAX,443
162.159.24.107,4,4,0.00,233.95,1.17,LAX,443
172.67.141.113,4,4,0.00,234.95,1.12,LHR,443
104.19.93.123,4,4,0.00,233.94,1.04,LAX,443
